id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
1,-0.0791695,-0.238103,0.00709289,-0.14096,0.208234,-0.0565579,-0.249522,0.0190808,-0.0365436,0.227766,-0.0686221,-0.289754,0.00427669,-0.0164624,0.221689,0.108491,0.224207,0.0813868,0.413325,0.0850771,0
2,-0.0128514,-0.00980513,-0.0121649,-0.0454843,0.150505,-0.0227638,0.0194243,-0.00770849,0.0448974,0.139055,-0.0303431,0.0549312,-0.00338891,-0.00317313,0.122659,0.119528,0.221101,0.0738817,0.332881,0.0973127,0
3,-0.0150706,0.122723,0.0238244,-0.0214109,-0.0435191,0.00125125,0.0987295,0.0216664,0.0682766,-0.0311922,-0.0200094,0.0826061,0.0116946,-0.0140016,-0.0451259,0.104273,0.257512,0.0776984,0.39479,0.0922956,0
4,-0.0221522,0.0669531,0.0232277,-0.143861,0.0376371,-0.0403463,0.156178,-0.00907018,-0.123901,-0.0100058,-0.0380434,0.0838067,0.016351,-0.0213833,0.0176739,0.140602,0.297873,0.0811795,0.408963,0.112741,0
5,0.00267152,0.473579,-0.043676,0.0921712,0.251855,0.0289316,0.503597,-0.000225269,-0.0322135,0.285262,-0.000184701,0.528228,-0.0468332,0.0235744,0.231727,0.103108,0.191944,0.069076,0.36143,0.0805067,0
6,-0.088508,0.0077337,0.01642,-0.0308617,0.242518,-0.126388,-0.00204489,-0.0204404,-0.0388968,0.199533,-0.108928,-0.0701611,0.0158968,-0.0354418,0.247507,0.118409,0.329941,0.0772584,0.407669,0.106605,0
7,0.00413665,0.451692,-0.0189095,-0.0140632,0.0647594,-0.00206862,0.432118,-0.0340934,0.0618322,0.0559919,0.0018845,0.459547,-0.0198611,0.00555246,0.0540094,0.0996379,0.214279,0.0627905,0.43519,0.0845138,0
8,-0.0554508,0.407144,-0.0345375,-0.0216066,0.0770575,-0.0332946,0.462304,0.00563556,-0.00470394,0.0950082,-0.0167334,0.496515,-0.00990692,-0.00420748,0.0738388,0.0902817,0.193958,0.0601948,0.401346,0.070236,0
9,0.0793547,0.08913,0.0138048,0.0532273,-0.338931,0.0859262,0.13387,0.0174424,-0.0108201,-0.353597,0.0706442,0.0664717,0.00197877,0.00886461,-0.3475,0.101091,0.167136,0.0659945,0.427881,0.0678793,0
10,-0.121978,-0.449515,0.0471258,-0.0525286,0.171348,-0.0709315,-0.602276,0.01223,0.00230815,0.21694,-0.0932175,-0.640536,0.0119092,-0.0345106,0.212215,0.122206,0.23716,0.0786597,0.348466,0.092924,0
11,0.00360216,0.864258,-0.0759311,-0.0473625,0.0469921,0.00902563,0.806779,-0.0372463,0.0605402,0.0895398,0.0212473,0.862458,-0.0468493,0.00716149,0.068972,0.108717,0.202786,0.0733335,0.351626,0.0778753,0
12,0.0144245,-0.240191,0.0101399,-0.0466593,-0.371224,0.0165477,-0.29121,0.00539285,0.0550925,-0.355963,0.0540902,-0.27006,0.021594,-0.0057644,-0.339016,0.0997151,0.194988,0.0843815,0.464891,0.0677613,0
13,-0.00289611,-0.158736,-0.0140281,0.0376128,-0.0373404,0.0562984,-0.205796,-0.00872857,0.0795443,0.00365663,0.0149814,-0.191408,-0.00119062,0.00757372,-0.00987789,0.0872978,0.164635,0.061166,0.388173,0.0657383,0
14,-0.0242107,0.157679,-0.022723,0.0333784,0.0331409,-0.0104563,0.172291,-0.0140912,-0.027526,0.0350754,-0.000725313,0.2017,-0.00748458,0.00214001,0.0309322,0.0997006,0.225438,0.0579843,0.408212,0.0791527,0
15,-0.0514605,0.110009,-0.00303557,-0.018551,0.296546,-0.0300941,0.230991,0.0280375,-0.106306,0.295593,-0.0773884,0.216364,0.00303587,-0.0180346,0.256942,0.107637,0.258253,0.0852035,0.419406,0.0977386,0
