rep,id,phiS,deltaS,phiL,deltaL,deltaA,GROUP
1,1,1.20144239046271,0.0533755877369219,0.631679534685728,0.000673074611233806,1.23867548209044,0
2,1,0.971924628417895,0.0578937478516659,0.613454444862348,0.00100976560586581,1.02135836705993,0
3,1,1.01786701530432,0.0512192061314578,0.636642895499019,0.00075866021288707,1.16623210541342,0
1,2,1.20720367307061,0.065325456283179,0.587455930147601,0.00135251303282875,1.08261506873348,0
2,2,1.0258268776829,0.0744480748202783,0.622743150124159,0.00100474855784149,1.04511899707011,0
3,2,1.00794061833728,0.0909774085409579,0.59398657238262,0.000651385504734846,0.948898919426452,0
1,3,1.11875148506473,0.134498135606992,0.635089042740458,0.00135686762964555,0.771841307577713,0
2,3,1.0338982379713,0.0620075060361214,0.544652515346475,0.000546058126024999,0.834649437923193,0
3,3,0.940396773235224,0.0676530212956503,0.506462598944405,0.000548715953727565,0.763574344639579,0
1,4,0.783073896765536,0.0926162897377179,0.613451230577052,0.00110598772534668,0.82075919638876,0
2,4,1.1372776274054,0.0915656772934789,0.721657618134927,0.00194212902261149,0.938871257500739,0
3,4,0.724127584702361,0.110271463253989,0.537295199583006,0.000868739173840042,0.653994907101363,0
1,5,1.23684735241118,0.153648203566458,0.588443007613812,0.00117691839244413,1.15098318652681,0
2,5,0.942281355209532,0.0796502415701928,0.579623333358988,0.0005040257776519,1.269056881768,0
3,5,1.1235675046237,0.134697944688304,0.635648236581538,0.000904840813336869,1.21224909205422,0
1,6,0.871761852028765,0.082292225709507,0.659752215067319,0.000783647620565992,1.06306464710419,0
2,6,1.069351694474,0.0677077573407158,0.617753890311294,0.00065856169907772,1.15985823032804,0
3,6,1.01231636482982,0.0553120776257696,0.621334654248752,0.0004728263756519,1.25147028080112,0
1,7,1.1277725862398,0.102094562909679,0.584214887115105,0.000565923132305767,1.00875759347159,0
2,7,1.18725987448304,0.121340706123371,0.567759530630406,0.000731017578405984,0.87912208992727,0
3,7,1.1242185476405,0.128577267351625,0.547018942342549,0.000556045519851082,0.834089592954136,0
1,8,0.856724058811686,0.0964421157933067,0.525671293087058,0.000947719197587203,0.879131419296471,0
2,8,1.1109153612614,0.132077454893611,0.61328017321458,0.00138445253653246,0.93034167702332,0
