parameter,value,se_sa,rse_sa
phiS_pop,1.06477142243142,0.0239278059761878,2.24722465987566
deltaS_pop,0.0752387177131257,0.00425967698778072,5.66154915614358
beta_deltaS_GROUP_1,-0.384732615629991,0.0769488426584588,20.0006028946771
phiL_pop,0.601742172034622,0.0119864044850388,1.99195021424378
beta_phiL_GROUP_1,-0.713756166565104,0.0368200373225661,5.15862966196981
deltaL_pop,0.00080987429155217,0.000122149267970482,15.0824972770003
beta_deltaL_GROUP_1,1.53775182738623,0.187620351079513,12.200951267827
deltaA_pop,0.871183278628334,0.0175330161035209,2.01255195475359
omega_phiS,0.127931488034194,0.0323818362766923,25.3118577562682
omega_deltaS,0.473961687597113,0.0274909977202816,5.80025737093967
omega_phiL,0.0834774132704544,0.025092728123289,30.0593024390829
omega_deltaL,0.398071386655937,0.0696481417311335,17.496394884401
omega_deltaA,0.209464413074973,0.0128815017039158,6.14973279461328
a,0.0368606798677183,0.000659877778076287,1.79019426783333
