phiS_pop,1,0.056422,0.30325,-0.013973,-0.063818,0.43248,-0.078652,0.049083,-0.18203,-0.035481,-0.016876,0.020412
deltaS_pop,0.056422,1,0.17476,-0.0091703,-0.055397,-0.030355,-0.028389,0.040974,-0.059296,0.019462,0.0084432,-0.0066213
phiL_pop,0.30325,0.17476,1,-0.58971,0.094286,0.26235,-0.069394,0.093965,-0.23477,0.036937,0.01233,0.01422
beta_phiL_GROUP_1,-0.013973,-0.0091703,-0.58971,1,-0.21312,-0.026245,0.058866,-0.078053,-0.059506,0.11509,-0.0040716,0.026088
deltaL_pop,-0.063818,-0.055397,0.094286,-0.21312,1,-0.020547,-0.068295,0.047613,-0.026912,-0.28125,0.0072628,0.0011845
deltaA_pop,0.43248,-0.030355,0.26235,-0.026245,-0.020547,1,0.021757,-0.0017395,-0.13893,-0.031563,-0.027135,0.024329
omega_phiS,-0.078652,-0.028389,-0.069394,0.058866,-0.068295,0.021757,1,-0.057683,-0.0046572,-0.11664,-0.20113,-0.016268
omega_deltaS,0.049083,0.040974,0.093965,-0.078053,0.047613,-0.0017395,-0.057683,1,-0.068168,0.014543,-0.0047188,-0.028032
omega_phiL,-0.18203,-0.059296,-0.23477,-0.059506,-0.026912,-0.13893,-0.0046572,-0.068168,1,-0.05894,-0.0050036,-0.018952
omega_deltaL,-0.035481,0.019462,0.036937,0.11509,-0.28125,-0.031563,-0.11664,0.014543,-0.05894,1,0.056838,0.019979
omega_deltaA,-0.016876,0.0084432,0.01233,-0.0040716,0.0072628,-0.027135,-0.20113,-0.0047188,-0.0050036,0.056838,1,0.0024928
a,0.020412,-0.0066213,0.01422,0.026088,0.0011845,0.024329,-0.016268,-0.028032,-0.018952,0.019979,0.0024928,1
