id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
1,-0.117764,-0.0819317,0.000583284,-0.40604,0.194006,-0.127642,-0.104535,-0.00320021,-0.246994,0.196842,-0.0973958,-0.134963,-0.00259754,-0.010314,0.213923,0.125894,0.200732,0.0745486,1.55408,0.0781593,0
2,-0.0277408,0.143995,-0.00744843,0.0223442,0.150028,-0.0333584,0.200806,-0.00904796,0.197513,0.132344,-0.0523695,0.197699,-0.00422692,-0.00264352,0.123226,0.124525,0.21839,0.0572949,1.2535,0.0916334,0
3,-0.0732467,0.303116,0.0131868,-0.165293,-0.0745379,-0.0438807,0.220404,-0.0052469,-0.0325212,-0.0507535,-0.0363224,0.195838,0.00509837,-0.0171052,-0.0370609,0.135367,0.242878,0.0629241,1.40275,0.0930351,0
4,-0.053894,0.239054,0.0247042,-0.0243914,0.0261054,-0.0976905,0.301621,-0.00742801,-0.0261391,-0.0260104,-0.0623619,0.188659,0.00655484,-0.02383,0.0227941,0.154711,0.265641,0.0536098,1.26382,0.0928512,0
5,-0.0517221,0.671739,-0.0302623,0.191925,0.230927,-0.0201675,0.721414,-0.0045432,0.189874,0.243083,-0.0232735,0.720832,-0.0252816,0.0227152,0.226187,0.115387,0.183678,0.0687309,1.44719,0.0880143,0
6,-0.140481,0.0759888,-0.00754548,-0.0985089,0.236072,-0.186373,0.160523,-0.00598147,-0.0588219,0.190786,-0.154829,0.0382635,0.001268,-0.0295485,0.240189,0.149597,0.287104,0.0568651,1.36967,0.111427,0
7,-0.00186087,0.597772,-0.00125976,-0.000943801,0.0723167,-0.0400455,0.605884,-0.0289883,-0.148137,0.0424963,-0.0236635,0.631227,-0.00627727,-0.0042881,0.0493622,0.110439,0.208905,0.0527419,1.48893,0.0781519,0
8,-0.0985736,0.578615,-0.00742753,-0.168971,0.0702977,-0.0791358,0.543273,0.00263645,0.0862233,0.097228,-0.0527945,0.660213,-0.000463791,-0.0159476,0.0649054,0.106476,0.231668,0.048231,1.29377,0.0834135,0
9,0.104167,0.221413,0.00712887,-0.130365,-0.318886,0.11219,0.205905,0.0056664,-0.266168,-0.317757,0.0983832,0.19605,0.00457654,0.000948635,-0.319848,0.108342,0.181544,0.0526575,1.50883,0.0742705,0
10,-0.127929,-0.455032,0.00992485,-0.242884,0.191732,-0.153445,-0.407857,0.00673084,0.0100365,0.169246,-0.1312,-0.482629,0.00188153,-0.0292048,0.197237,0.138985,0.197619,0.0630021,1.33456,0.0945035,0
