rep,id,phiS,deltaS,phiL,deltaL,deltaA,GROUP
1,1,1.11925814726436,0.0483198908524768,0.568576043525014,1.14007457068284e-5,1.17756994519187,0
2,1,1.08876592951423,0.0493770682885037,0.569148819059055,0.000110690663722982,1.12089782106128,0
3,1,1.06521985250648,0.0475937767310479,0.561449401104468,6.66025627517267e-5,1.13587247191719,0
1,2,1.08757985998117,0.09651819476869,0.561110556897686,0.000328256698772433,0.894357620782303,0
2,2,1.00831913843688,0.0600822033173422,0.56962543998147,0.000154184010570858,1.01802509410408,0
3,2,0.958215877369808,0.0856701907163704,0.56113565258874,1.24855141669002e-5,0.914484553658582,0
1,3,0.992577985676273,0.131533934987076,0.535977452380544,8.74518124721336e-5,0.695536563251465,0
2,3,0.778600606549293,0.0555920732823519,0.527183940020843,2.61824370496843e-5,0.801791318346294,0
3,3,1.06866891416877,0.0729163719883125,0.483571149054626,4.90754544611539e-5,0.737010182681732,0
1,4,0.749308590135172,0.0771725507426808,0.5780397638297,0.000297071897666139,0.833410567262464,0
2,4,1.08901660557549,0.0833672681569516,0.55070795563697,4.96663285282589e-5,0.895406547060391,0
3,4,0.781031856147582,0.122764533069035,0.58920401314233,5.92039470428677e-5,0.718518498262492,0
1,5,1.02685793610012,0.121782643327161,0.551060748533958,0.000218233779892718,1.09091528008498,0
2,5,1.04519885982542,0.0961474711503675,0.625248155028455,1.26220257066423e-5,1.31791919160633,0
3,5,1.17771635794538,0.128370283001693,0.600478503667512,9.29779407554925e-5,1.19820233510713,0
1,6,0.739849873939351,0.0783888713294363,0.584026646304192,0.000113842960535056,0.962817151141869,0
2,6,0.875718935415897,0.0801333728434083,0.593963955819356,0.000141712716612761,1.02366159810739,0
3,6,0.870722249886582,0.053921102956414,0.556409234537306,4.73667719442105e-5,1.12988883580301,0
1,7,1.21521573901176,0.0997770469895078,0.580240170761197,0.000104990066766596,1.05249652641611,0
