rep,id,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA,GROUP
1,1,0.0433789017321149,-0.207880837590509,0.0195223447061958,-1.78561585185815,0.316761492774604,0
2,1,0.0157576844914858,-0.186238020635402,0.0205292236121041,0.487444879613159,0.267438536317637,0
3,1,-0.00610598346283245,-0.223022120621108,0.00690893508707829,-0.0205515614372874,0.280709599554518,0
1,2,0.0146677201519812,0.484007405031256,0.00630523598903493,1.57450130250788,0.0416589856433676,0
2,2,-0.061002470465634,0.00998954747496264,0.0213663007526557,0.81885214495781,0.17117311441499,0
3,2,-0.111969380272753,0.364780799781217,0.00634996002703253,-1.69472551234387,0.0639138444224522,0
1,3,-0.0767368901169381,0.793540746697326,-0.0395206275047956,0.251793309061437,-0.209763151632995,0
2,3,-0.319544260378517,-0.0676835081380281,-0.056063201295195,-0.95420577362641,-0.0675983603436116,0
3,3,-0.00287332699101155,0.203589062891535,-0.14241426297156,-0.32593561733619,-0.151845024301587,0
1,4,-0.357891573062072,0.260319701109433,0.0360299406226167,1.47467957119115,-0.0289203341800542,0
2,4,0.015987896698922,0.337531631820087,-0.0124080786643291,-0.313967408900645,0.0428311248749253,0
3,4,-0.316426536650919,0.724544022974064,0.0551597745003482,-0.13830640531013,-0.17725528193289,0
1,5,-0.0427836032363411,0.716513711335694,-0.0117676667381051,1.16627225502525,0.240325596578306,0
2,5,-0.0250800318016303,0.480159038233919,0.114535897742642,-1.68385125818534,0.429362669018157,0
3,5,0.0942900779097172,0.769194791305758,0.0741141222530708,0.313067650841332,0.334130925705198,0
1,6,-0.370595182018357,0.2759578375855,0.0463338877839715,0.515525341550033,0.115416786777468,0
2,6,-0.201997285108949,0.297968274680233,0.0632059158461487,0.734507267880316,0.176694547595162,0
3,6,-0.207719435050476,-0.0982022105488169,-0.00210866438520719,-0.361373648958238,0.275427798683042,0
1,7,0.12563442840473,0.517214034413782,0.0398293841126232,0.434571125460593,0.204473532445252,0
2,7,-0.0398622938868859,0.571404644483021,-0.0672960844465526,1.00938680616808,0.00938766052952499,0
3,7,-0.0498033366385882,0.587360048195058,-0.138692671082637,-3.61927324327586,-0.0887269399357938,0
1,8,-0.219025610953724,0.28908161991303,-0.0467650992028689,1.42256454830053,0.0788171014800551,0
2,8,-0.0492484799489582,0.687182330065965,-0.00492439976457429,0.613563448927385,0.0487374479526477,0
3,8,-0.0744883209441963,0.27870041917396,0.0562484070672848,0.655307326625524,0.224757893076512,0
1,9,0.338706857189105,0.115215975361092,-0.0659151546755605,-1.65413287389207,-0.268130854518504,0
