parameter,value,se_sa,rse_sa
phiS_pop,1.07174396510209,0.0215426730903509,2.01005779288888
deltaS_pop,0.0594849971707911,0.00229116410735827,3.85166717042948
phiL_pop,0.557583752770955,0.00893887848386604,1.60314543589974
beta_phiL_GROUP_1,-0.799066161799846,0.0229858329144186,2.8765869477747
deltaL_pop,6.79855116156532e-5,3.10887541517588e-5,45.7284992242389
deltaA_pop,0.857864989995267,0.0146820742526138,1.71146677202608
omega_phiS,0.158932415512587,0.0173660756477222,10.9267046572679
omega_deltaS,0.496280295405288,0.0291765464856485,5.87904592541226
omega_phiL,0.0628172663881152,0.0133742867384521,21.2907811935326
omega_deltaL,1.49380956470728,0.259396231371602,17.3647456476443
omega_deltaA,0.192185557600112,0.0115039079808663,5.98583375593859
a,0.0368329190656416,0.000660191491542819,1.79239524938619
