pub_date;title;venue;excerpt;citation;url_slug;paper_url
2016-01-01;Mathematical foundations of antibody aﬃnity maturation;Hal;PhD Thesis manuscript.;Balelli, I. (2016). Mathematical foundations of antibody aﬃnity maturation (Doctoral dissertation, Université Sorbonne Paris Cité).;2016-1;http://irenebalelli.github.io/files/papapers/Irene_Balelli_these.pdf
2018-01-01;Branching random walks on binary strings for evolutionary processes in adaptive immunity;arXiv;In this article, we study branching random walks on graphs modeling division-mutation processes inspired by adaptive immunity. We apply the theory of expander graphs on mutation rules in evolutionary processes and obtain estimates for the cover times of the branching random walk.;Balelli, I., Milišić, V., & Wainrib, G. (2018). Random walks on binary strings applied to the somatic hypermutation of B-cells. <i>Mathematical biosciences<i>, 300, 168-186. ;	2018-2 ; https://arxiv.org/pdf/1607.00927v1.pdf
2018-01-01;Random walks on binary strings applied to the somatic hypermutation of B-cells;Mathematical biosciences;This paper establish a mathematical framework based on random walks on graph to introduce and evaluate the mutation mechanism at the basis of the evolutionary process leading to antibody maturation.;Balelli, I., Milišić, V., & Wainrib, G. (2018). Random walks on binary strings applied to the somatic hypermutation of B-cells. <i>Mathematical biosciences<i>, 300, 168-186.;2018-1;http://irenebalelli.github.io/files/papapers/randomW_hyper.pdf
2019-01-01;Multi-type Galton-Watson processes with affinity-dependent selection applied to antibody affinity maturation;Bulletin of mathematical biology;Inspired by antibody affinity maturation, the interactions between division, mutation and selection are analysed, assuming that the observed population can be classified according to fitness levels with respect to a target trait. An optimal selection rate has been identified, which allows to maximize the number of high affinity B-cells selected at a given generation.;Balelli, I., Milišić, V., & Wainrib, G. (2019). Multi-type galton–watson processes with affinity-dependent selection applied to antibody affinity maturation. <i>Bulletin of mathematical biology<i>, 81(3), 830-868.;2019-1;http://irenebalelli.github.io/files/papapers/multi_type_GW.pdf
2019-01-01;Dynamics of the humoral immune response to a prime-boost Ebola vaccine: quantification and sources of variation;Journal of virology;In this paper data from three phase 1 trials of a 2-doses vaccine against Ebola virus performed by the EBOVAC1 Consortium are analyzed. A mathematical model based on ODEs is used to characterize the dynamics of the humoral response after the second dose immunization up to 1 year of followup: it allows to estimate the durability of the antibody response and the influence of different factors on the dynamics of the humoral response.;Pasin, C., Balelli, I., Van Effelterre, T., et al. (2019). Dynamics of the humoral immune response to a prime-boost Ebola vaccine: quantification and sources of variation. <i>Journal of virology<i>, 93(18), e00579-19.;2019-2;https://journals.asm.org/doi/pdf/10.1128/jvi.00579-19
2019-01-01;Viral rebound kinetics following single and combination immunotherapy for HIV/SIV;BioRxiv;In this paper we conduct a detailed analysis of the kinetics of viral rebound after immunotherapy in the context of HIV infection. We use mathematical models combined with rigorous statistical fitting to quantify the impact of these interventions on viral dynamics, and provide a framework for understanding the relative contributions of different mechanisms for preventing viral rebound and highlight the multifaceted roles of TLR7-agonists for HIV/SIV cure.;Prague, M., Gerold, J. M., Balelli, I., et al. (2019). Viral rebound kinetics following single and combination immunotherapy for HIV/SIV. <i>BioRxiv<i>, 700401.;2019-3;https://www.biorxiv.org/content/10.1101/700401v2
2020-01-01;A model for establishment, maintenance and reactivation of the immune response after vaccination against Ebola virus;Journal of theoretical biology;This article describes the biological motivation and the development of a mechanistic model of the humoral immune response to multiple vaccine injections. A theoretical analysis is proposed, as well as a calibration with clinical data generated by the EBOVAC project.;Balelli, I., Pasin, C., Prague, M., et al. (2020). A model for establishment, maintenance and reactivation of the immune response after vaccination against Ebola virus. <i>Journal of theoretical biology<i>, 495, 110254.;2020-1;https://www.sciencedirect.com/science/article/pii/S0022519320301090
2021-01-01;Parameter estimation in nonlinear mixed effect models based on ordinary differential equations: an optimal control approach;arXiv;We present a parameter estimation method for nonlinear mixed effect models based on ordinary differential equations (NLME-ODEs). The proposed method aims at regularizing the estimation problem in presence of model misspecifications, practical identifiability issues and unknown initial conditions, using a control theory approach.;Clairon, Q., Pasin, C., Balelli, I., et al. (2021). Parameter estimation in nonlinear mixed effect models based on ordinary differential equations: an optimal control approach. <i>arXiv<i> preprint arXiv:2102.11543.;2020-2;https://arxiv.org/pdf/2102.11543.pdf
2021-01-01;A Probabilistic Framework for Modeling the Variability Across Federated Datasets of Heterogeneous Multi-View Observations;Lecture Notes in Computer Science;In this paper we propose a new Bayesian framework for federated learning of heterogeneous multi-modal biomedical data. An application to a large database (including medical imaging and clinical scores) on patients with Alzheimer disease shows that the proposed model allows high quality data reconstruction, compared to current auto-encoding methods and federated learning schemes.;Balelli I., Silva S., Lorenzi M. (2021). A Probabilistic Framework for Modeling the Variability Across Federated Datasets of Heterogeneous Multi-View Observations. In: Feragen A., Sommer S., Schnabel J., Nielsen M. (eds) <i>Information Processing in Medical Imaging<i>. IPMI 2021. <i>Lecture Notes in Computer Science<i>, vol 12729. Springer, Cham. https://doi.org/10.1007/978-3-030-78191-0_54;2021-1;https://hal.archives-ouvertes.fr/hal-03152886/
2021-01-01;A Differentially Private Probabilistic Framework for Modeling the Variability Across Federated Datasets of Heterogeneous Multi-View Observations;Submitted to Journal of Machine Learning for Biomedical Imaging;This paper is an extension of the work presented at the Information Processing in Medical Imaging 2021 conference, where we introduce formal differential privacy guarantees compatibly with the proposed Expectation Maximization optimization scheme.;Balelli I., Silva S., Lorenzi M. (2021). A Differentially Private Probabilistic Framework for Modeling the Variability Across Federated Datasets of Heterogeneous Multi-View Observations. <i>Submitted to Journal of Machine Learning for Biomedical Imaging<i>.;2021-3;http://irenebalelli.github.io/files/papapers/Balelli_MELBA_IPMI2021.pdf
